routename,routeid,start,end,length,ave_speed(m/s),ave_grad,gap_time(s),track,path
R240,EC5487B(C),EC5487,EC5491,2139.790648,9.430348049,-0.171317926,257.8135701,,"['P824', 'P1047', 'P344', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1053', 'P1062', 'P1056', 'P828', 'P1536', 'P1064', 'P1538', 'P1541']"
R72,EC5487B(M),EC5487,EC5491,2139.790648,9.430348049,-0.171317926,257.8135701,"['TECW', 'TEDA', 'TEDB', 'TEDC', 'TEDG', 'TEDH', 'TEDJ']","['P824', 'P1047', 'P344', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1053', 'P1062', 'P1056', 'P828', 'P1536', 'P1064', 'P1538', 'P1541']"
R239,EC5487C(C),EC5487,EC5493,2257.882203,9.154397542,-0.161264454,284.9771939,,"['P824', 'P1047', 'P344', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1672', 'P425', 'P426', 'P427', 'P1063', 'P1055', 'P829', 'P1537', 'P1539', 'P1054', 'P1540', 'P428', 'P429', 'P430', 'P431']"
R214,EC5487C(M),EC5487,EC5493,2257.882203,9.154397542,-0.161264454,284.9771939,"['TECW', 'TEDA', 'TEDB', 'TEDC', 'TGAS', 'TGAR', 'TGAM']","['P824', 'P1047', 'P344', 'P392', 'P413', 'P345', 'P346', 'P347', 'P1049', 'P951', 'P348', 'P349', 'P350', 'P351', 'P1528', 'P1051', 'P352', 'P353', 'P354', 'P1052', 'P355', 'P1672', 'P425', 'P426', 'P427', 'P1063', 'P1055', 'P829', 'P1537', 'P1539', 'P1054', 'P1540', 'P428', 'P429', 'P430', 'P431']"
R243,EC5488A(C),EC5488,EC5480,3012.813163,8.914539944,0.028799028,360.4941669,,"['P1056', 'P1062', 'P1053', 'P355', 'P1052', 'P354', 'P353', 'P352', 'P1051', 'P1528', 'P351', 'P350', 'P349', 'P348', 'P951', 'P1049', 'P347', 'P346', 'P345', 'P413', 'P392', 'P393', 'P391', 'P390', 'P1048', 'P825', 'P1045', 'P389']"
R178,EC5488A(M),EC5488,EC5480,3012.813163,8.914539944,0.028799028,360.4941669,"['TEDG', 'TEDC', 'TEDB', 'TEDA', 'TECW', 'TGAU', 'TGAW']","['P1056', 'P1062', 'P1053', 'P355', 'P1052', 'P354', 'P353', 'P352', 'P1051', 'P1528', 'P351', 'P350', 'P349', 'P348', 'P951', 'P1049', 'P347', 'P346', 'P345', 'P413', 'P392', 'P393', 'P391', 'P390', 'P1048', 'P825', 'P1045', 'P389']"
R244,EC5488B(C),EC5488,EC5484,2919.87864,8.984846557,0.02971565,346.6349265,,"['P1056', 'P1062', 'P1053', 'P355', 'P1052', 'P354', 'P353', 'P352', 'P1051', 'P1528', 'P351', 'P350', 'P349', 'P348', 'P951', 'P1049', 'P347', 'P346', 'P345', 'P413', 'P392', 'P344', 'P1047', 'P824', 'P1046', 'P819']"
R179,EC5488B(M),EC5488,EC5484,2919.87864,8.984846557,0.02971565,346.6349265,"['TEDG', 'TEDC', 'TEDB', 'TEDA', 'TECW', 'TECV', 'TECS']","['P1056', 'P1062', 'P1053', 'P355', 'P1052', 'P354', 'P353', 'P352', 'P1051', 'P1528', 'P351', 'P350', 'P349', 'P348', 'P951', 'P1049', 'P347', 'P346', 'P345', 'P413', 'P392', 'P344', 'P1047', 'P824', 'P1046', 'P819']"
R245,EC5488C(C),EC5488,TD5056,3267.485879,12.60155402,0.030927542,262.1645459,,"['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P1050', 'P328', 'P327', 'P1662', 'P326', 'P418', 'P325', 'P324', 'P1057', 'P823', 'P1058', 'P1059', 'P818']"
R180,EC5488C(M),EC5488,TD5056,3267.485879,12.60155402,0.030927542,262.1645459,"['TEDG', 'TEDC', 'TFDR', 'TFDU', 'TFDW', 'TFDY', 'TFML', 'TFMN', 'TFMP']","['P1056', 'P1062', 'P1053', 'P355', 'P1300', 'P423', 'P422', 'P1542', 'P1530', 'P421', 'P332', 'P1050', 'P328', 'P327', 'P1662', 'P326', 'P418', 'P325', 'P324', 'P1057', 'P823', 'P1058', 'P1059', 'P818']"
